bot_response,chat_id,context,datetime,metadata,session,user_message
"[""Hey! How are you? I'm the XXX Virtual Assistant, and I can help you resolving your issues, such as opening a call to someone in XXX to fix your computer, notebook, some device; or I can just ask you a question"", 'So, how can I help you? 😊']",800673480.0,greetings,2021-08-30 00:56:09,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,hey
"['Really? Or, let me help you...', 'Your problem was found: **problem**. Your item is: **computer*']",800673480.0,problem recognized and item recognized,2021-08-30 00:56:21,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,my computer is broken
"[""Hey! How are you? I'm the XXX Virtual Assistant, and I can help you resolving your issues, such as opening a call to someone in XXX to fix your computer, notebook, some device; or I can just ask you a question"", 'So, how can I help you? 😊']",1140774271.0,greetings,2021-08-30 00:56:22,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,ola
"[""Hey! How are you? I'm the XXX Virtual Assistant, and I can help you resolving your issues, such as opening a call to someone in XXX to fix your computer, notebook, some device; or I can just ask you a question"", 'So, how can I help you? 😊']",800673480.0,greetings,2021-08-30 00:56:43,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,hey
"['Hm.... tell me, what’s happening in your **computer**?']",800673480.0,problem not recognized and item recognized,2021-08-30 00:56:47,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,my computer
"['Hm.... tell me, what’s happening in your **computer**?']",800673480.0,problem not recognized and item recognized,2021-08-30 00:56:47,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,my computer
"['Hm.... I’m confused... But surely I’ll understand, you trust in it?', 'Tell-me more about what kind of subject are you trying to say me? You can put it in text or use the buttons:']",1140774271.0,not_handled,2021-08-30 00:57:32,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,me a achar promocao de computador
"['Hm.... I’m confused... But surely I’ll understand, you trust in it?', 'Tell-me more about what kind of subject are you trying to say me? You can put it in text or use the buttons:']",1140774271.0,not_handled,2021-08-30 00:57:49,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,me ajude a achar promocao de computador
"['Hm.... tell me, what’s happening in your **computer**?']",1140774271.0,problem not recognized and item recognized,2021-08-30 00:58:45,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,computer promotion
"['Hm.... I’m confused... But surely I’ll understand, you trust in it?', 'Tell-me more about what kind of subject are you trying to say me? You can put it in text or use the buttons:']",1140774271.0,not_handled,2021-08-30 00:59:27,"{'intent': [{'problem': ['broken', 'broke']}, {'greetings': ['hey'], 'problem': ['broken', 'broke']}, {'problem': ['broken', 'broke']}, {'problem': ['problem']}], 'entity': [{'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}, {'device': {'computer': ['puter', 'computer']}}]}",0.0,does not work
